dataset,metric,GRU4Rec,SASRec,BERT4Rec,FMLPRec,BSARec,WEARec,DuoRec_reproduction,StaRec,relative_gain_percent
ML-1M,HR@5,0.1005,0.1374,0.1485,0.1331,0.1896,0.2083,0.2174,0.2205,1.43
ML-1M,HR@10,0.1657,0.2137,0.2336,0.2093,0.2791,0.2945,0.3078,0.3088,0.32
ML-1M,NDCG@5,0.0619,0.0873,0.0983,0.0861,0.1275,0.1414,0.1490,0.1504,0.94
ML-1M,NDCG@10,0.0828,0.1116,0.1256,0.1105,0.1562,0.1692,0.1781,0.1788,0.39
Digital Music,HR@5,0.0108,0.0570,0.0612,0.0538,0.0837,0.0838,0.0817,0.0870,3.82
Digital Music,HR@10,0.0191,0.0770,0.0855,0.0783,0.1086,0.1093,0.1073,0.1117,2.20
Digital Music,NDCG@5,0.0066,0.0411,0.0453,0.0390,0.0638,0.0632,0.0625,0.0663,3.92
Digital Music,NDCG@10,0.0092,0.0476,0.0531,0.0469,0.0718,0.0714,0.0708,0.0743,3.48
Musical Instruments,HR@5,0.0265,0.0458,0.0638,0.0513,0.0734,0.0749,0.0726,0.0766,2.27
Musical Instruments,HR@10,0.0440,0.0634,0.0836,0.0669,0.0953,0.0949,0.0917,0.0960,0.73
Musical Instruments,NDCG@5,0.0177,0.0335,0.0498,0.0395,0.0599,0.0613,0.0594,0.0623,1.63
Musical Instruments,NDCG@10,0.0232,0.0392,0.0562,0.0469,0.0670,0.0677,0.0656,0.0685,1.18
Office Products,HR@5,0.0302,0.0548,0.0733,0.0670,0.0866,0.0885,0.0893,0.0936,4.82
Office Products,HR@10,0.0407,0.0677,0.0860,0.0796,0.1017,0.1029,0.1010,0.1070,3.98
Office Products,NDCG@5,0.0220,0.0444,0.0621,0.0552,0.0742,0.0760,0.0781,0.0807,3.33
Office Products,NDCG@10,0.0254,0.0485,0.0662,0.0592,0.0791,0.0806,0.0818,0.0850,3.91
